" Datos Básicos  - Familiares que trabajan en explotaciones agrarias"
"Datos de: INDICADOR=FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS"
"FAMILIA INDICADOR",,"AGRICULTURA",
"INDICADOR",,"FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"24198 VEGA DE VALCARCE",         371,
,"24199 VEGAQUEMADA",         137,
,"24201 VEGAS DEL CONDADO",         442,
,"24202 VILLABLINO",         386,
,"24203 VILLABRAZ",          39,
,"24205 VILLADANGOS DEL PARAMO",         252,
,"24206 TORAL DE LOS VADOS",         771,
,"24207 VILLADEMOR DE LA VEGA",          82,
,"24209 VILLAFRANCA DEL BIERZO",        1397,
,"24210 VILLAGATON",          55,
,"24211 VILLAMANDOS",         160,
,"24212 VILLAMAÑAN",         384,
,"24213 VILLAMARTIN DE DON SANCHO",          47,
,"24214 VILLAMEJIL",         256,
,"24215 VILLAMOL",          99,
,"24216 VILLAMONTAN DE LA VALDUERNA",         593,
,"24217 VILLAMORATIEL DE LAS MATAS",          59,
,"24218 VILLANUEVA DE LAS MANZANAS",         117,
,"24219 VILLAOBISPO DE OTERO",         210,
,"24221 VILLAQUEJIDA",         269,
,"24222 VILLAQUILAMBRE",         218,
,"24223 VILLAREJO DE ORBIGO",         591,
,"24224 VILLARES DE ORBIGO",         306,
,"24225 VILLASABARIEGO",         235,
,"24226 VILLASELAN",         113,
,"24227 VILLATURIEL",         311,
,"24228 VILLAZALA",         254,
,"24229 VILLAZANZO DE VALDERADUEY",         196,
,"24230 ZOTES DEL PARAMO",         394,
,"24901 VILLAMANIN",         260,
,"24902 VILLAORNATE Y CASTRO",         127,
,"34001 ABARCA DE CAMPOS",          11,
,"34003 ABIA DE LAS TORRES",          36,
,"34004 AGUILAR DE CAMPOO",         327,
,"34005 ALAR DEL REY",          82,
,"34006 ALBA DE CERRATO",          31,
,"34009 AMAYUELAS DE ARRIBA",          13,
,"34010 AMPUDIA",          88,
,"34011 AMUSCO",         109,
,"34012 ANTIGÜEDAD",          72,
,"34015 ARCONADA",          27,
,"34017 ASTUDILLO",         174,
,"34018 AUTILLA DEL PINO",          93,
,"34019 AUTILLO DE CAMPOS",          76,
,"34020 AYUELA",          16,
,"34022 BALTANAS",         357,
,"34023 VENTA DE BAÑOS",          59,
,"34024 BAQUERIN DE CAMPOS",          23,
,"34025 BARCENA DE CAMPOS",          15,
,"34027 BARRUELO DE SANTULLAN",          82,
,"34028 BASCONES DE OJEDA",          40,
,"34029 BECERRIL DE CAMPOS",         279,
,"34031 BELMONTE DE CAMPOS",           9,
,"34032 BERZOSILLA",          21,
,"34033 BOADA DE CAMPOS",           6,
,"34034 BOADILLA DEL CAMINO",          53,
,"34035 BOADILLA DE RIOSECO",          78,
,"34036 BRAÑOSERA",          32,
,"34037 BUENAVISTA DE VALDAVIA",          70,
,"34038 BUSTILLO DE LA VEGA",          65,
,"34039 BUSTILLO DEL PARAMO DE CARRION",          31,
,"34041 CALAHORRA DE BOEDO",          26,
,"34042 CALZADA DE LOS MOLINOS",          71,
,"34045 CAPILLAS",          20,
,"34046 CARDEÑOSA DE VOLPEJERA",          15,
,"34047 CARRION DE LOS CONDES",         121,
,"34048 CASTIL DE VELA",          28,
,"34049 CASTREJON DE LA PEÑA",         111,
,"34050 CASTRILLO DE DON JUAN",         183,
,"34051 CASTRILLO DE ONIELO",          46,
,"34052 CASTRILLO DE VILLAVEGA",          52,
,"34053 CASTROMOCHO",          58,
,"34055 CERVATOS DE LA CUEZA",          69,
,"34056 CERVERA DE PISUERGA",         198,
,"34057 CEVICO DE LA TORRE",         112,
,"34058 CEVICO NAVERO",          66,
,"34059 CISNEROS",         120,
,"34060 COBOS DE CERRATO",          60,
,"34061 COLLAZOS DE BOEDO",          28,
,"34062 CONGOSTO DE VALDAVIA",          45,
,"34063 CORDOVILLA LA REAL",           7,
,"34066 CUBILLAS DE CERRATO",          38,
,"34067 DEHESA DE MONTEJO",          35,
,"34068 DEHESA DE ROMANOS",          25,
,"34069 DUEÑAS",         147,
,"34070 ESPINOSA DE CERRATO",          68,
,"34071 ESPINOSA DE VILLAGONZALO",          50,
,"34072 FRECHILLA",         103,
,"34073 FRESNO DEL RIO",          46,
,"34074 FROMISTA",          76,
,"34076 FUENTES DE NAVA",         191,
,"34077 FUENTES DE VALDEPERO",          38,
,"34079 GRIJOTA",          76,
,"34080 GUARDO",          63,
,"34081 GUAZA DE CAMPOS",          39,
,"34082 HERMEDES DE CERRATO",          36,
,"34083 HERRERA DE PISUERGA",         148,
,"34084 HERRERA DE VALDECAÑAS",          38,
,"34086 HONTORIA DE CERRATO",          42,
,"34087 HORNILLOS DE CERRATO",          51,
,"34088 HUSILLOS",          40,
,"34089 ITERO DE LA VEGA",          63,
,"34091 LAGARTOS",          40,
,"34092 LANTADILLA",         105,
,"34093 VID DE OJEDA (LA)",          52,
,"34094 LEDIGOS",          26,
,"34096 LOMAS",          27,
,"34098 MAGAZ DE PISUERGA",          36,
,"34099 MANQUILLOS",          24,
,"34100 MANTINOS",          23,
,"34101 MARCILLA DE CAMPOS",          16,
,"34102 MAZARIEGOS",          70,
,"34103 MAZUECOS DE VALDEGINATE",          60,
,"34104 MELGAR DE YUSO",          63,
,"34106 MENESES DE CAMPOS",          19,
,"34107 MICIECES DE OJEDA",          35,
,"34108 MONZON DE CAMPOS",          61,
,"34109 MORATINOS",          29,
,"34110 MUDA",          16,
,"34112 NOGAL DE LAS HUERTAS",          24,
,"34113 OLEA DE BOEDO",           8,
,"34114 OLMOS DE OJEDA",         106,
,"34116 OSORNILLO",          33,
,"34120 PALENCIA",         214,
,"34121 PALENZUELA",          92,
,"34122 PARAMO DE BOEDO",          33,
,"34123 PAREDES DE NAVA",         341,
,"34124 PAYO DE OJEDA",          30,
,"34125 PEDRAZA DE CAMPOS",          44,
,"34126 PEDROSA DE LA VEGA",         102,
,"34127 PERALES",          34,
,"34129 PINO DEL RIO",          73,
,"34130 PIÑA DE CAMPOS",          54,
,"34131 POBLACION DE ARROYO",          34,
,"34132 POBLACION DE CAMPOS",          38,
,"34133 POBLACION DE CERRATO",          58,
,"34134 POLENTINOS",          46,
,"34135 POMAR DE VALDIVIA",         131,
,"34136 POZA DE LA VEGA",          66,
,"34137 POZO DE URAMA",          16,
,"34139 PRADANOS DE OJEDA",          41,
,"34140 PUEBLA DE VALDAVIA (LA)",          31,
,"34141 QUINTANA DEL PUENTE",          32,
,"34143 QUINTANILLA DE ONSOÑA",          72,
,"34146 REINOSO DE CERRATO",          27,
,"34147 RENEDO DE LA VEGA",          45,
,"34149 REQUENA DE CAMPOS",          21,
,"34151 RESPENDA DE LA PEÑA",          42,
,"34152 REVENGA DE CAMPOS",          53,
,"34154 REVILLA DE COLLAZOS",          19,
,"34155 RIBAS DE CAMPOS",          24,
,"34156 RIBEROS DE LA CUEZA",          19,
,"34157 SALDAÑA",         152,
,"34158 SALINAS DE PISUERGA",          22,
,"34159 SAN CEBRIAN DE CAMPOS",          78,
,"34160 SAN CEBRIAN DE MUDA",          36,
,"34161 SAN CRISTOBAL DE BOEDO",          19,
,"34163 SAN MAMES DE CAMPOS",          15,
,"34165 SAN ROMAN DE LA CUBA",          27,
,"34167 SANTA CECILIA DEL ALCOR",          34,
,"34168 SANTA CRUZ DE BOEDO",          19,
,"34169 SANTERVAS DE LA VEGA",         108,
,"34170 SANTIBAÑEZ DE ECLA",          35,
,"34171 SANTIBAÑEZ DE LA PEÑA",          93,
,"34174 SANTOYO",          59,
,"34175 SERNA (LA)",          29,
,"34176 SOTOBAÑADO Y PRIORATO",          27,
,"34177 SOTO DE CERRATO",          25,
,"34178 TABANERA DE CERRATO",          50,
,"34179 TABANERA DE VALDAVIA",          16,
,"34180 TAMARA DE CAMPOS",          29,
,"34181 TARIEGO DE CERRATO",          72,
,"34182 TORQUEMADA",         133,
,"34184 TORREMORMOJON",          14,
,"34185 TRIOLLO",          25,
,"34186 VALBUENA DE PISUERGA",          26,
,"34189 VALDEOLMILLOS",          24,
,"34190 VALDERRABANO",          40,
,"34192 VALDE-UCIEZA",          83,
,"34196 VALLE DE CERRATO",          40,
,"34199 VELILLA DEL RIO CARRION",         122,
,"34201 VERTAVILLO",          52,
,"34202 VILLABASTA DE VALDAVIA",           9,
,"34204 VILLACIDALER",          22,
,"34205 VILLACONANCIO",          33,
,"34206 VILLADA",         100,
,"34208 VILLAELES DE VALDAVIA",          22,
,"34210 VILLAHAN",          64,
,"34211 VILLAHERREROS",          51,
,"34213 VILLALACO",          24,
,"34214 VILLALBA DE GUARDO",          36,
,"34215 VILLALCAZAR DE SIRGA",          38,
,"34216 VILLALCON",          26,
,"34217 VILLALOBON",          63,
,"34218 VILLALUENGA DE LA VEGA",         126,
,"34220 VILLAMARTIN DE CAMPOS",          75,
,"34221 VILLAMEDIANA",          50,
,"34222 VILLAMERIEL",          37,
,"34223 VILLAMORONTA",          37,
,"34224 VILLAMUERA DE LA CUEZA",          25,
,"34225 VILLAMURIEL DE CERRATO",         163,
,"34227 VILLANUEVA DEL REBOLLAR",          27,
,"34228 VILLANUÑO DE VALDAVIA",          21,
,"34229 VILLAPROVEDO",          26,
,"34230 VILLARMENTERO DE CAMPOS",          12,
,"34231 VILLARRABE",         115,
,"34232 VILLARRAMIEL",          39,
,"34233 VILLASARRACINO",          45,
,"34234 VILLASILA DE VALDAVIA",          34,
,"34236 VILLATURDE",          66,
,"34237 VILLAUMBRALES",         195,
,"34238 VILLAVIUDAS",          87,
,"34240 VILLERIAS DE CAMPOS",          24,
,"34241 VILLODRE",          12,
,"34242 VILLODRIGO",           6,
,"34243 VILLOLDO",          61,
,"34245 VILLOTA DEL PARAMO",          95,
,"34246 VILLOVIECO",          40,
,"34901 OSORNO LA MAYOR",         144,
,"34902 VALLE DEL RETORTILLO",         104,
,"34903 LOMA DE UCIEZA",          72,
,"34904 PERNIA (LA)",         128,
,"37001 ABUSEJO",          32,
,"37002 AGALLAS",          61,
,"37003 AHIGAL DE LOS ACEITEROS",          66,
,"37004 AHIGAL DE VILLARINO",          26,
,"37005 ALAMEDA DE GARDON (LA)",          61,
,"37006 ALAMEDILLA (LA)",          33,
,"37007 ALARAZ",         133,
,"37008 ALBA DE TORMES",         309,
,"37009 ALBA DE YELTES",          36,
,"37010 ALBERCA (LA)",          78,
,"37011 ALBERGUERIA DE ARGAÑAN (LA)",          40,
,"37012 ALCONADA",          53,
,"37013 ALDEACIPRESTE",          87,
,"37014 ALDEADAVILA DE LA RIBERA",         731,
,"37015 ALDEA DEL OBISPO",          76,
,"37016 ALDEALENGUA",          39,
,"37017 ALDEANUEVA DE FIGUEROA",          92,
,"37018 ALDEANUEVA DE LA SIERRA",          16,
,"37019 ALDEARRODRIGO",          87,
,"37020 ALDEARRUBIA",         145,
,"37021 ALDEASECA DE ALBA",          55,
,"37022 ALDEASECA DE LA FRONTERA",          88,
,"37023 ALDEATEJADA",          38,
,"37024 ALDEAVIEJA DE TORMES",          26,
,"37025 ALDEHUELA DE LA BOVEDA",          51,
,"37026 ALDEHUELA DE YELTES",          88,
,"37027 ALMENARA DE TORMES",          50,
,"37028 ALMENDRA",          30,
,"37029 ANAYA DE ALBA",          70,
,"37030 AÑOVER DE TORMES",          45,
,"37031 ARABAYONA DE MOGICA",         117,
,"37032 ARAPILES",          61,
,"37033 ARCEDIANO",          29,
,"37034 ARCO (EL)",          51,
,"37035 ARMENTEROS",          66,
,"37036 SAN MIGUEL DEL ROBLEDO",          27,
,"37037 ATALAYA (LA)",          65,
,"37038 BABILAFUENTE",         135,
,"37039 BAÑOBAREZ",          61,
,"37040 BARBADILLO",          66,
,"37041 BARBALOS",          42,
,"37042 BARCEO",          24,
,"37044 BARRUECOPARDO",          72,
,"37045 BASTIDA (LA)",          12,
,"37046 BEJAR",         106,
,"37047 BELEÑA",          17,
,"37049 BERMELLAR",          93,
,"37050 BERROCAL DE HUEBRA",          36,
,"37051 BERROCAL DE SALVATIERRA",          31,
,"37052 BOADA",          30,
,"37054 BODON (EL)",          60,
,"37055 BOGAJO",          30,
,"37056 BOUZA (LA)",          19,
,"37057 BOVEDA DEL RIO ALMAR",          80,
,"37058 BRINCONES",          28,
,"37059 BUENAMADRE",          30,
,"37060 BUENAVISTA",          30,
,"37061 CABACO (EL)",          37,
,"37062 CABEZABELLOSA DE LA CALZADA",          48,
,"37063 CABEZA DE BEJAR (LA)",          18,
,"37065 CABEZA DEL CABALLO",         113,
,"37067 CABRERIZOS",          55,
,"37068 CABRILLAS",          58,
,"37069 CALVARRASA DE ABAJO",         160,
,"37070 CALVARRASA DE ARRIBA",          69,
,"37071 CALZADA DE BEJAR (LA)",          23,
,"37072 CALZADA DE DON DIEGO",          36,
,"37073 CALZADA DE VALDUNCIEL",          88,
,"37074 CAMPILLO DE AZABA",          78,
,"37077 CAMPO DE PEÑARANDA (EL)",         128,
,"37078 CANDELARIO",         129,
,"37079 CANILLAS DE ABAJO",          31,
,"37080 CANTAGALLO",          23,
,"37081 CANTALAPIEDRA",         160,
,"37082 CANTALPINO",         266,
,"37083 CANTARACILLO",          79,
,"37085 CARBAJOSA DE LA SAGRADA",          27,
,"37086 CARPIO DE AZABA",          36,
,"37087 CARRASCAL DE BARREGAS",          41,
,"37088 CARRASCAL DEL OBISPO",          28,
,"37089 CASAFRANCA",          22,
,"37090 CASAS DEL CONDE (LAS)",          29,
,"37091 CASILLAS DE FLORES",          63,
,"37092 CASTELLANOS DE MORISCOS",          47,
,"37096 CASTILLEJO DE MARTIN VIEJO",         130,
,"37097 CASTRAZ",          16,
,"37098 CEPEDA",         152,
,"37099 CERECEDA DE LA SIERRA",          32,
,"37100 CEREZAL DE PEÑAHORCADA",          55,
,"37101 CERRALBO",          92,
,"37102 CERRO (EL)",         169,
,"37103 CESPEDOSA DE TORMES",         143,
,"37104 CILLEROS DE LA BASTIDA",          15,
,"37106 CIPEREZ",         106,
,"37107 CIUDAD RODRIGO",         481,
,"37108 COCA DE ALBA",          43,
,"37109 COLMENAR DE MONTEMAYOR",          60,
,"37110 CORDOVILLA",          36,
,"37112 CRISTOBAL",         111,
,"37113 CUBO DE DON SANCHO (EL)",          68,
,"37114 CHAGARCIA MEDIANERO",          33,
,"37115 DIOS LE GUARDE",          37,
,"37116 DOÑINOS DE LEDESMA",          30,
,"37117 DOÑINOS DE SALAMANCA",          31,
,"37118 EJEME",          69,
,"37119 ENCINA (LA)",          49,
,"37120 ENCINA DE SAN SILVESTRE",          27,
,"37121 ENCINAS DE ABAJO",          73,
,"37122 ENCINAS DE ARRIBA",          53,
,"37123 ENCINASOLA DE LOS COMENDADORES",          93,
,"37124 ENDRINAL",          81,
,"37125 ESCURIAL DE LA SIERRA",         158,
,"37126 ESPADAÑA",          18,
,"37127 ESPEJA",          79,
,"37128 ESPINO DE LA ORBADA",          52,
,"37129 FLORIDA DE LIEBANA",          40,
,"37130 FORFOLEDA",          80,
,"37131 FRADES DE LA SIERRA",          41,
,"37132 FREGENEDA (LA)",         143,
,"37133 FRESNEDOSO",          50,
,"37134 FRESNO ALHANDIGA",          43,
,"37135 FUENTE DE SAN ESTEBAN (LA)",          90,
,"37136 FUENTEGUINALDO",         186,
,"37137 FUENTELIANTE",          51,
,"37138 FUENTERROBLE DE SALVATIERRA",          64,
,"37139 FUENTES DE BEJAR",          31,
,"37140 FUENTES DE OÑORO",          52,
,"37141 GAJATES",          66,
,"37142 GALINDO Y PERAHUY",          48,
,"37143 GALINDUSTE",          76,
,"37144 GALISANCHO",         126,
,"37145 GALLEGOS DE ARGAÑAN",          81,
,"37146 GALLEGOS DE SOLMIRON",          56,
,"37147 GARCIBUEY",         124,
,"37148 GARCIHERNANDEZ",         151,
,"37149 GARCIRREY",          39,
,"37150 GEJUELO DEL BARRO",          13,
,"37151 GOLPEJAS",          27,
,"37152 GOMECELLO",         104,
,"37154 GUADRAMIRO",          55,
,"37155 GUIJO DE AVILA",          22,
,"37156 GUIJUELO",         168,
,"37157 HERGUIJUELA DE CIUDAD RODRIGO",          20,
,"37158 HERGUIJUELA DE LA SIERRA",         183,
,"37159 HERGUIJUELA DEL CAMPO",          38,
,"37160 HINOJOSA DE DUERO",         144,
,"37161 HORCAJO DE MONTEMAYOR",          49,
,"37162 HORCAJO MEDIANERO",         115,
,"37163 HOYA (LA)",           8,
,"37164 HUERTA",          85,
,"37165 IRUELOS",           7,
,"37166 ITUERO DE AZABA",          72,
,"37167 JUZBADO",          19,
,"37168 LAGUNILLA",         332,
,"37169 LARRODRIGO",          75,
,"37170 LEDESMA",         131,
,"37171 LEDRADA",          61,
,"37172 LINARES DE RIOFRIO",         145,
,"37173 LUMBRALES",         377,
,"37174 MACOTERA",         176,
,"37175 MACHACON",         102,
,"37176 MADROÑAL",          94,
,"37177 MAILLO (EL)",          58,
,"37178 MALPARTIDA",          42,
,"37179 MANCERA DE ABAJO",          91,
,"37180 MANZANO (EL)",          20,
,"37181 MARTIAGO",         130,
,"37182 MARTINAMOR",          21,
,"37183 MARTIN DE YELTES",          77,
,"37184 MASUECO",         291,
,"37185 CASTELLANOS DE VILLIQUERA",          98,
,"37186 MATA DE LEDESMA (LA)",          32,
,"37187 MATILLA DE LOS CAÑOS DEL RIO",          33,
,"37188 MAYA (LA)",          27,
,"37189 MEMBRIBE DE LA SIERRA",          33,
,"37190 MIEZA",         340,
,"37191 MILANO (EL)",          46,
,"37192 MIRANDA DE AZAN",          15,
,"37193 MIRANDA DEL CASTAÑAR",         193,
,"37194 MOGARRAZ",         111,
,"37195 MOLINILLO",         119,
,"37196 MONFORTE DE LA SIERRA",         102,
,"37197 MONLEON",          37,
,"37198 MONLERAS",          36,
,"37199 MONSAGRO",          73,
,"37200 MONTEJO",          36,
,"37201 MONTEMAYOR DEL RIO",          71,
,"37202 MONTERRUBIO DE ARMUÑA",          12,
,"37203 MONTERRUBIO DE LA SIERRA",          30,
,"37204 MORASVERDES",         124,
,"37205 MORILLE",          32,
,"37206 MORIÑIGO",          23,
,"37207 MORISCOS",          37,
,"37208 MORONTA",          42,
,"37209 MOZARBEZ",          29,
,"37211 NARROS DE MATALAYEGUA",          79,
,"37212 NAVACARROS",          17,
,"37213 NAVA DE BEJAR",          20,
,"37214 NAVA DE FRANCIA",          11,
,"37215 NAVA DE SOTROBAL",         123,
,"37216 NAVALES",          68,
,"37217 NAVALMORAL DE BEJAR",          37,
,"37218 NAVAMORALES",          58,
,"37219 NAVARREDONDA DE LA RINCONADA",         182,
,"37221 NAVASFRIAS",         157,
,"37222 NEGRILLA DE PALENCIA",          47,
,"37223 OLMEDO DE CAMACES",          51,
,"37224 ORBADA (LA)",          87,
,"37225 PAJARES DE LA LAGUNA",          22,
,"37226 PALACIOS DEL ARZOBISPO",         114,
,"37228 PALACIOSRUBIOS",         111,
,"37229 PALENCIA DE NEGRILLA",          56,
,"37230 PARADA DE ARRIBA",          30,
,"37231 PARADA DE RUBIALES",          74,
,"37232 PARADINAS DE SAN JUAN",         136,
,"37233 PASTORES",          16,
,"37234 PAYO (EL)",          60,
,"37235 PEDRAZA DE ALBA",          40,
,"37236 PEDROSILLO DE ALBA",          52,
,"37237 PEDROSILLO DE LOS AIRES",         101,
,"37238 PEDROSILLO EL RALO",          20,
,"37239 PEDROSO DE LA ARMUÑA (EL)",          48,
,"37240 PELABRAVO",          79,
,"37241 PELARRODRIGUEZ",          46,
,"37242 PELAYOS",          81,
,"37243 PEÑA (LA)",          48,
,"37244 PEÑACABALLERA",          15,
,"37245 PEÑAPARDA",          77,
,"37246 PEÑARANDA DE BRACAMONTE",          67,
,"37247 PEÑARANDILLA",          52,
,"37248 PERALEJOS DE ABAJO",          29,
,"37249 PERALEJOS DE ARRIBA",          26,
,"37250 PEREÑA DE LA RIBERA",         251,
,"37251 PEROMINGO",          47,
,"37252 PINEDAS",         167,
,"37253 PINO DE TORMES (EL)",          25,
,"37254 PITIEGUA",         118,
,"37255 PIZARRAL",          16,
,"37256 POVEDA DE LAS CINTAS",          68,
,"37257 POZOS DE HINOJO",          30,
,"37258 PUEBLA DE AZABA",          67,
,"37259 PUEBLA DE SAN MEDEL",          17,
,"37260 PUEBLA DE YELTES",          81,
,"37261 PUENTE DEL CONGOSTO",          71,
,"37262 PUERTAS",          38,
,"37263 PUERTO DE BEJAR",          25,
,"37264 PUERTO SEGURO",          41,
,"37265 RAGAMA",          83,
,"37266 REDONDA (LA)",          64,
,"37267 RETORTILLO",          48,
,"37268 RINCONADA DE LA SIERRA (LA)",         113,
,"37269 ROBLEDA",         188,
,"37270 ROBLIZA DE COJOS",          24,
,"37271 ROLLAN",          72,
,"37272 SAELICES EL CHICO",          67,
,"37273 SAGRADA (LA)",          44,
,"37274 SALAMANCA",          76,
,"37275 SALDEANA",          35,
,"37276 SALMORAL",          88,
,"37277 SALVATIERRA DE TORMES",          17,
,"37278 SAN CRISTOBAL DE LA CUESTA",          34,
,"37279 SANCTI-SPIRITUS",         117,
,"37280 SANCHON DE LA RIBERA",          32,
,"37281 SANCHON DE LA SAGRADA",          10,
,"37282 SANCHOTELLO",         157,
,"37283 SANDO",          42,
,"37284 SAN ESTEBAN DE LA SIERRA",         205,
,"37285 SAN FELICES DE LOS GALLEGOS",         202,
,"37286 SAN MARTIN DEL CASTAÑAR",          66,
,"37287 SAN MIGUEL DE VALERO",         225,
,"37288 SAN MORALES",          21,
,"37289 SAN MUÑOZ",          61,
,"37290 SAN PEDRO DEL VALLE",          27,
,"37291 SAN PEDRO DE ROZADOS",          58,
,"37292 SAN PELAYO DE GUAREÑA",          34,
,"37293 SANTA MARIA DE SANDO",          63,
,"37294 SANTA MARTA DE TORMES",          23,
,"37296 SANTIAGO DE LA PUEBLA",         177,
,"37297 SANTIBAÑEZ DE BEJAR",          95,
,"37298 SANTIBAÑEZ DE LA SIERRA",         302,
,"37299 SANTIZ",         123,
,"37300 SANTOS (LOS)",         126,
,"37301 SARDON DE LOS FRAILES",          19,
,"37302 SAUCELLE",         102,
,"37303 SAHUGO (EL)",          87,
,"37304 SEPULCRO-HILARIO",          78,
,"37305 SEQUEROS",          43,
,"37306 SERRADILLA DEL ARROYO",          86,
,"37307 SERRADILLA DEL LLANO",         138,
,"37309 SIERPE (LA)",          15,
,"37310 SIETEIGLESIAS DE TORMES",          53,
,"37311 SOBRADILLO",          83,
,"37312 SORIHUELA",          41,
,"37313 SOTOSERRANO",         538,
,"37314 TABERA DE ABAJO",          36,
,"37315 TALA (LA)",          23,
,"37316 TAMAMES",         124,
,"37317 TARAZONA DE GUAREÑA",          81,
,"37318 TARDAGUILA",          74,
,"37319 TEJADO (EL)",          31,
,"37320 TEJEDA Y SEGOYUELA",          30,
,"37321 TENEBRON",          51,
,"37322 TERRADILLOS",          25,
,"37323 TOPAS",         132,
,"37324 TORDILLOS",          93,
,"37325 TORNADIZO (EL)",          72,
,"37327 TORRESMENUDAS",          54,
,"37328 TRABANCA",          80,
,"37329 TREMEDAL DE TORMES",          17,
,"37330 VALDECARROS",          97,
,"37331 VALDEFUENTES DE SANGUSIN",         117,
,"37332 VALDEHIJADEROS",          23,
,"37333 VALDELACASA",          71,
,"37334 VALDELAGEVE",          78,
,"37335 VALDELOSA",         289,
,"37336 VALDEMIERQUE",          24,
,"37337 VALDERRODRIGO",          57,
,"37338 VALDUNCIEL",          42,
,"37339 VALERO",         180,
,"37340 VALSALABROSO",          79,
,"37341 VALVERDE DE VALDELACASA",          28,
,"37342 VALVERDON",          55,
,"37343 VALLEJERA DE RIOFRIO",           9,
,"37344 VECINOS",          21,
,"37345 VEGA DE TIRADOS",          37,
,"37346 VEGUILLAS (LAS)",          34,
,"37347 VELLES (LA)",          72,
,"37348 VENTOSA DEL RIO ALMAR",          38,
,"37349 VIDOLA (LA)",          49,
,"37350 VILVESTRE",         375,
,"37351 VILLAFLORES",         106,
,"37352 VILLAGONZALO DE TORMES",          86,
,"37353 VILLALBA DE LOS LLANOS",          29,
,"37354 VILLAMAYOR",          38,
,"37355 VILLANUEVA DEL CONDE",         162,
,"37356 VILLAR DE ARGAÑAN",          44,
,"37357 VILLAR DE CIERVO",         139,
,"37358 VILLAR DE GALLIMAZO",          52,
,"37359 VILLAR DE LA YEGUA",         100,
,"37360 VILLAR DE PERALONSO",          68,
,"37361 VILLAR DE SAMANIEGO",          28,
,"37362 VILLARES DE LA REINA",          47,
,"37363 VILLARES DE YELTES",          43,
,"37364 VILLARINO DE LOS AIRES",         571,
,"37365 VILLARMAYOR",          38,
,"37366 VILLARMUERTO",          19,
,"37367 VILLASBUENAS",          61,
,"37368 VILLASDARDO",           7,
,"37369 VILLASECO DE LOS GAMITOS",          16,
,"37370 VILLASECO DE LOS REYES",          75,
,"37371 VILLASRUBIAS",         166,
,"37372 VILLAVERDE DE GUAREÑA",          48,
,"37373 VILLAVIEJA DE YELTES",         117,
,"37374 VILLORIA",         168,
,"37375 VILLORUELA",          54,
,"37376 VITIGUDINO",         138,
,"37377 YECLA DE YELTES",          70,
,"37378 ZAMARRA",          70,
,"37379 ZAMAYON",          68,
,"37380 ZARAPICOS",          14,
,"37381 ZARZA DE PUMAREDA (LA)",          50,
,"37382 ZORITA DE LA FRONTERA",          70,
,"40001 ABADES",         161,
,"40002 ADRADA DE PIRON",          17,
,"40003 ADRADOS",          72,
,"40004 AGUILAFUENTE",         137,
,"40005 ALCONADA DE MADERUELO",          30,
,"40006 ALDEALCORVO",          10,
,"40007 ALDEALENGUA DE PEDRAZA",          29,
,"40008 ALDEALENGUA DE SANTA MARIA",          13,
,"40009 ALDEANUEVA DE LA SERREZUELA",           9,
,"40010 ALDEANUEVA DEL CODONAL",         157,
,"40012 ALDEA REAL",          99,
,"40013 ALDEASOÑA",          67,
,"40014 ALDEHORNO",          55,
,"40015 ALDEHUELA DEL CODONAL",          45,
,"40016 ALDEONTE",          43,
,"40017 ANAYA",          26,
,"40018 AÑE",          35,
,"40019 ARAHUETES",          10,
,"40020 ARCONES",          34,
,"40021 AREVALILLO DE CEGA",          10,
,"40022 ARMUÑA",          73,
,"40024 AYLLON",         146,
,"40025 BARBOLLA",          49,
,"40026 BASARDILLA",          34,
,"40028 BERCIAL",          30,
,"40029 BERCIMUEL",          27,
,"40030 BERNARDOS",          38,
,"40031 BERNUY DE PORREROS",          24,
,"40032 BOCEGUILLAS",          56,
,"40033 BRIEVA",          17,
,"40034 CABALLAR",          33,
,"40035 CABAÑAS DE POLENDOS",          47,
,"40036 CABEZUELA",         122,
,"40037 CALABAZAS DE FUENTIDUEÑA",          31,
,"40039 CAMPO DE SAN PEDRO",          83,
,"40040 CANTALEJO",         350,
,"40041 CANTIMPALOS",         175,
,"40043 CARBONERO EL MAYOR",         252,
,"40044 CARRASCAL DEL RIO",          66,
,"40045 CASLA",          11,
,"40046 CASTILLEJO DE MESLEON",          19,
,"40047 CASTRO DE FUENTIDUEÑA",          34,
,"40048 CASTROJIMENO",          21,
,"40049 CASTROSERNA DE ABAJO",          14,
,"40051 CASTROSERRACIN",           4,
,"40052 CEDILLO DE LA TORRE",          28,
,"40053 CEREZO DE ABAJO",           8,
,"40054 CEREZO DE ARRIBA",          17,
,"40055 CILLERUELO DE SAN MAMES",          16,
,"40056 COBOS DE FUENTIDUEÑA",          26,
,"40057 COCA",         128,
,"40058 CODORNIZ",         293,
,"40059 COLLADO HERMOSO",          10,
,"40060 CONDADO DE CASTILNOVO",          66,
,"40061 CORRAL DE AYLLON",          32,
,"40062 CUBILLO",           6,
,"40063 CUELLAR",         788,
,"40065 CHAÑE",         159,
,"40068 DOMINGO GARCIA",          14,
,"40069 DONHIERRO",          32,
,"40070 DURUELO",          26,
,"40071 ENCINAS",          27,
,"40072 ENCINILLAS",          43,
